pubid,gender97,ethnic97,hh18_97,psmoke97
590,1,Non-Hispanic,1,1
591,2,Hispanic,4,2
592,2,Hispanic,4,2
593,2,Hispanic,2,3
594,2,Non-Hispanic,2,5
595,2,Non-Hispanic,2,1
596,2,Non-Hispanic,2,4
597,2,Non-Hispanic,2,3
598,1,Hispanic,1,3
599,2,Hispanic,1,5
600,1,Hispanic,5,1
601,2,Hispanic,2,2
602,2,Hispanic,2,2
603,1,Hispanic,4,1
604,2,Hispanic,5,2
605,2,Hispanic,3,3
606,1,Non-Hispanic,2,5
607,2,Non-Hispanic,2,4
608,1,Non-Hispanic,1,1
609,2,Non-Hispanic,1,2
610,2,Non-Hispanic,3,3
611,1,Non-Hispanic,3,2
612,1,Non-Hispanic,2,1
613,1,Non-Hispanic,1,3
614,2,Hispanic,2,4
615,2,Hispanic,2,3
616,1,Hispanic,2,1
617,2,Hispanic,5,1
618,1,Hispanic,3,2
619,1,Hispanic,2,1
620,1,Hispanic,2,1
621,1,Hispanic,3,4
622,2,Hispanic,4,1
623,1,Hispanic,4,3
624,2,Hispanic,2,2
625,1,Hispanic,2,1
626,2,Hispanic,3,1
627,1,Non-Hispanic,1,1
628,1,Non-Hispanic,3,2
629,2,Non-Hispanic,1,2
630,1,Non-Hispanic,1,3
631,1,Non-Hispanic,3,2
632,2,Non-Hispanic,3,2
633,2,Non-Hispanic,3,2
634,2,Non-Hispanic,4,4
635,2,Non-Hispanic,1,5
636,1,Non-Hispanic,1,1
637,2,Hispanic,4,4
638,1,Non-Hispanic,1,1
639,2,Non-Hispanic,1,2
640,1,Non-Hispanic,3,1
641,2,Non-Hispanic,2,2
642,1,Non-Hispanic,2,2
643,1,Non-Hispanic,2,3
644,1,Non-Hispanic,3,5
645,1,Non-Hispanic,3,5
646,1,Non-Hispanic,3,5
647,1,Non-Hispanic,3,4
648,1,Non-Hispanic,3,5
649,1,Non-Hispanic,3,4
650,2,Non-Hispanic,3,3
651,2,Non-Hispanic,5,3
652,2,Non-Hispanic,5,2
653,1,Non-Hispanic,4,1
654,2,Non-Hispanic,1,2
655,2,Non-Hispanic,1,3
656,1,Hispanic,2,2
657,1,Hispanic,2,3
658,2,Hispanic,2,1
659,1,Hispanic,2,3
660,2,Hispanic,2,2
661,1,Hispanic,5,1
662,1,Hispanic,2,3
663,1,Hispanic,1,1
664,1,Non-Hispanic,1,3
665,1,Hispanic,2,2
666,2,Non-Hispanic,5,2
667,2,Non-Hispanic,5,2
668,2,Non-Hispanic,5,3
669,1,Non-Hispanic,4,3
670,1,Hispanic,0,2
671,1,Hispanic,4,1
672,2,Non-Hispanic,3,2
673,1,Non-Hispanic,3,1
674,2,Non-Hispanic,4,1
675,2,Non-Hispanic,2,5
676,2,Non-Hispanic,1,1
677,2,Non-Hispanic,4,3
678,1,Non-Hispanic,4,2
679,2,Non-Hispanic,2,1
680,1,Non-Hispanic,1,2
681,2,Non-Hispanic,2,3
682,2,Non-Hispanic,1,5
683,1,Non-Hispanic,1,1
684,2,Non-Hispanic,1,1
685,1,Non-Hispanic,1,1
686,2,Non-Hispanic,3,4
687,1,Non-Hispanic,4,2
688,1,Hispanic,1,5
689,2,Hispanic,1,1
690,1,Hispanic,3,3
691,1,Hispanic,3,4
692,1,Hispanic,2,1
693,2,Non-Hispanic,2,2
694,1,Hispanic,4,4
695,1,Hispanic,4,1
696,1,Hispanic,4,1
697,1,Hispanic,2,2
698,2,Non-Hispanic,1,5
699,1,Non-Hispanic,1,1
700,2,Non-Hispanic,2,5
701,1,Non-Hispanic,2,5
702,1,Non-Hispanic,5,2
703,2,Non-Hispanic,1,3
704,2,Non-Hispanic,2,5
705,2,Non-Hispanic,2,4
706,1,Non-Hispanic,2,1
707,2,Non-Hispanic,1,4
708,2,Non-Hispanic,1,3
709,2,Hispanic,1,5
710,2,Non-Hispanic,5,1
711,1,Non-Hispanic,5,3
712,1,Non-Hispanic,4,2
713,2,Non-Hispanic,4,2
714,1,Non-Hispanic,3,1
715,2,Non-Hispanic,3,1
716,1,Hispanic,2,1
717,1,Non-Hispanic,2,4
718,1,Non-Hispanic,1,1
719,1,Non-Hispanic,3,4
720,1,Non-Hispanic,3,2
721,2,Hispanic,2,3
722,1,Non-Hispanic,2,1
723,1,Hispanic,2,2
724,1,Non-Hispanic,3,2
725,2,Non-Hispanic,3,3
726,1,Non-Hispanic,3,3
727,2,Non-Hispanic,3,1
728,2,Non-Hispanic,3,1
729,1,Non-Hispanic,2,4
730,2,Non-Hispanic,3,3
731,1,Non-Hispanic,2,2
732,2,Non-Hispanic,2,1
733,2,Non-Hispanic,2,2
734,2,Non-Hispanic,2,2
735,2,Non-Hispanic,3,3
736,2,Non-Hispanic,3,1
737,1,Non-Hispanic,3,2
738,1,Non-Hispanic,3,1
739,2,Non-Hispanic,3,3
740,2,Non-Hispanic,2,1
741,2,Non-Hispanic,1,4
742,2,Non-Hispanic,1,4
743,1,Non-Hispanic,2,1
744,1,Non-Hispanic,2,3
745,1,Non-Hispanic,2,3
746,1,Non-Hispanic,2,1
747,1,Non-Hispanic,2,2
748,2,Non-Hispanic,2,1
749,2,Non-Hispanic,5,1
750,1,Non-Hispanic,5,1
751,2,Non-Hispanic,5,1
752,1,Non-Hispanic,3,1
753,1,Non-Hispanic,1,1
754,1,Hispanic,1,2
755,2,Non-Hispanic,2,2
756,2,Non-Hispanic,2,1
757,2,Non-Hispanic,2,1
758,1,Non-Hispanic,4,2
759,1,Non-Hispanic,1,1
760,2,Non-Hispanic,2,3
761,1,Non-Hispanic,1,2
762,2,Hispanic,1,4
763,1,Non-Hispanic,1,4
764,1,Non-Hispanic,2,3
765,1,Hispanic,3,2
766,1,Non-Hispanic,1,2
767,2,Non-Hispanic,3,3
768,1,Non-Hispanic,1,1
769,2,Non-Hispanic,1,4
770,2,Non-Hispanic,2,4
772,2,Non-Hispanic,1,2
773,1,Non-Hispanic,1,3
774,2,Hispanic,3,3
775,1,Non-Hispanic,2,5
776,1,Non-Hispanic,3,1
777,2,Hispanic,3,2
778,2,Non-Hispanic,1,1
779,1,Non-Hispanic,3,1
780,1,Non-Hispanic,3,2
781,1,Non-Hispanic,3,3
782,2,Non-Hispanic,3,4
783,1,Non-Hispanic,3,1
784,1,Non-Hispanic,2,4
785,1,Non-Hispanic,2,2
786,1,Non-Hispanic,2,3
787,1,Non-Hispanic,2,1
788,1,Non-Hispanic,1,2
789,1,Non-Hispanic,2,3
790,1,Non-Hispanic,2,2
791,2,Non-Hispanic,1,2
792,1,Non-Hispanic,4,2
793,1,Non-Hispanic,4,2
794,1,Non-Hispanic,2,3
795,2,Non-Hispanic,1,3
796,2,Non-Hispanic,3,1
797,2,Non-Hispanic,2,2
798,1,Non-Hispanic,2,1
799,1,Non-Hispanic,5,3
800,1,Non-Hispanic,3,3
801,2,Non-Hispanic,3,1
802,2,Hispanic,1,1
803,1,Non-Hispanic,2,3
804,1,Hispanic,4,3
805,1,Non-Hispanic,2,3
806,1,Non-Hispanic,2,2
807,2,Hispanic,3,3
808,1,Hispanic,3,2
809,2,Non-Hispanic,4,4
810,1,Non-Hispanic,4,4
811,2,Non-Hispanic,1,5
812,2,Non-Hispanic,1,1
813,2,Non-Hispanic,1,2
814,2,Non-Hispanic,3,.b
815,2,Non-Hispanic,1,3
816,2,Non-Hispanic,3,5
817,1,Non-Hispanic,2,2
818,2,Non-Hispanic,1,2
819,1,Non-Hispanic,4,3
820,1,Non-Hispanic,4,1
821,2,Non-Hispanic,1,3
822,2,Non-Hispanic,4,3
823,1,Non-Hispanic,4,1
824,2,Hispanic,2,3
825,2,Hispanic,2,1
826,1,Hispanic,2,3
827,1,Non-Hispanic,2,2
828,2,Non-Hispanic,1,1
829,2,Non-Hispanic,2,1
830,1,Non-Hispanic,2,2
831,1,Non-Hispanic,2,1
832,2,Non-Hispanic,2,3
833,2,Non-Hispanic,2,2
