iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
.76999998,.001608,3719,0,0,26,0,1,0,26,0
.75999999,.115419,528,0,1,67,0,1,0,67,65
.69999999,.264406,2201,0,1,89,0,1,0,89,78
.72000003,.21450301,2204,0,1,53,0,1,0,53,26
.72000003,.124918,3324,0,0,26,0,1,0,26,0
.63,.23290201,4409,1,1,53,0,1,0,53,26
.69999999,.058065001,4220,1,1,63,0,1,0,63,53
.69999999,.26325899,2305,0,1,84,0,1,0,84,78
.69,.198073,4608,0,0,26,0,1,0,26,0
.60000002,.30616301,4205,1,1,31,1,1,1,31,26
.75,.048025999,3326,0,0,89,0,1,0,89,78
.80000001,.011808,1802,0,1,65,0,1,0,65,53
.72000003,.20902701,509,0,1,26,0,1,0,26,0
.70999998,.144495,3410,0,0,71,0,1,0,71,65
.67000002,.33374801,513,0,1,26,0,1,0,26,0
.69999999,.168001,3011,0,0,53,0,1,0,53,26
.67000002,.331947,513,0,1,65,0,1,0,65,53
.61000001,.48123601,4704,0,1,53,0,1,0,53,26
.67000002,.12527101,207,1,1,53,0,1,0,53,26
.72000003,.116176,1410,0,0,26,0,1,0,26,0
.61000001,.47923699,4704,0,1,56,0,1,0,56,53
.69999999,.25395599,2700,0,1,26,0,1,0,26,0
.69999999,.16445599,3322,0,0,65,0,1,0,65,53
.69999999,.25388601,2117,0,1,78,0,1,0,78,65
.69,.18873499,3013,0,0,6,1,1,1,6,0
.66000003,.147085,901,1,1,66,0,1,0,66,65
.61000001,.47681701,3302,0,1,65,0,1,0,65,53
.66000003,.26256299,706,0,0,83,1,1,1,83,78
.69999999,.162103,3322,0,0,89,1,1,1,89,78
.67000002,.120335,1001,1,1,70,0,1,0,70,65
.74000001,.061875001,545,0,0,26,0,1,0,26,0
.66000003,.26084599,3713,0,0,53,0,1,0,53,26
.61000001,.47475499,3302,0,1,26,0,1,0,26,0
.69,.274959,601,0,1,55,0,1,0,55,53
.68000001,.210144,403,0,0,75,0,1,0,75,65
.68000001,.299413,1904,0,1,65,0,1,0,65,53
.69,.182124,521,0,0,26,0,1,0,26,0
.70999998,.015703,4212,1,1,26,0,1,0,26,0
.73000002,.170315,1602,0,1,54,0,1,0,54,53
.69999999,.155371,2104,0,0,59,0,1,0,59,53
.63999999,.188087,1007,1,1,43,0,1,0,43,26
.74000001,.054852001,3406,0,0,71,0,1,0,71,65
.69999999,.15354601,3322,0,0,53,0,1,0,53,26
.66000003,.251912,3713,0,0,26,0,1,0,26,0
.61000001,.465978,4704,0,1,26,0,1,0,26,0
.66000003,.13485301,4204,1,1,26,0,1,0,26,0
.74000001,.051383998,545,0,0,53,0,1,0,53,26
.69,.265008,3413,0,1,18,0,1,0,18,0
.76999998,.065422997,3417,0,1,53,0,1,0,53,26
.72000003,.189834,2204,0,1,26,0,1,0,26,0
.69999999,.15017299,3322,0,0,26,0,1,0,26,0
.67000002,.31428,4506,0,1,53,0,1,0,53,26
.58999997,.217207,201,1,0,75,0,1,0,75,65
.69,.17300899,521,0,0,52,0,1,0,52,26
.67000002,.31090501,4506,0,1,65,0,1,0,65,53
.63999999,.179464,4223,1,1,18,0,1,0,18,0
.70999998,.120952,1902,0,0,78,0,1,0,78,65
.73000002,.070798002,539,0,0,75,1,1,1,75,65
.76999998,.060394,3417,0,1,65,0,1,0,65,53
.67000002,.102396,1001,1,1,65,0,1,0,65,53
.75,.01887,3415,0,0,26,0,1,0,26,0
.70999998,.118613,1902,0,0,53,0,1,0,53,26
.69999999,.14351501,4508,0,0,53,0,1,0,53,26
.69999999,.142809,4508,0,0,65,0,1,0,65,53
.69999999,.23215599,2117,0,1,53,0,1,0,53,26
.70999998,.001217,4212,1,1,53,0,1,0,53,26
.62,.136051,4408,1,0,26,0,1,0,26,0
.63,.200487,4409,1,1,26,0,1,0,26,0
.74000001,.131872,4703,0,1,71,0,1,0,71,65
.75999999,.081231996,505,0,1,53,0,1,0,53,26
.76999998,.056239001,3417,0,1,71,0,1,0,71,65
.69999999,.230656,2305,0,1,53,0,1,0,53,26
.69999999,.140891,2104,0,0,53,0,1,0,53,26
.69,.25529701,601,0,1,53,0,1,0,53,26
.77999997,.030270001,603,0,1,20,0,1,0,20,0
.74000001,.040539999,3406,0,0,65,0,1,0,65,53
.69999999,.22974201,2305,0,1,78,0,1,0,78,65
.69999999,.229266,2305,0,1,65,0,1,0,65,53
.70999998,.113293,3410,0,0,65,0,1,0,65,53
.75999999,.077895999,528,0,1,26,0,1,0,26,0
.70999998,.113031,704,0,0,65,0,1,0,65,53
.69999999,.137805,535,0,0,53,0,1,0,53,26
.70999998,.112273,1902,0,0,26,0,1,0,26,0
.69999999,.225427,2201,0,1,26,0,1,0,26,0
.69,.250054,601,0,1,26,0,1,0,26,0
.63,.39939401,2206,0,1,74,0,1,0,74,65
.69999999,.22436599,1804,0,1,74,0,1,0,74,65
.75999999,.074156001,528,0,1,53,0,1,0,53,26
.58999997,.20287099,201,1,0,65,0,1,0,65,53
.76999998,.049015,3417,0,1,26,0,1,0,26,0
.62,.12642901,4408,1,0,51,1,1,1,51,26
.69999999,.221439,2117,0,1,65,0,1,0,65,53
.74000001,.121635,3414,0,1,71,1,1,1,71,65
.62,.215066,4108,1,1,83,0,1,0,83,78
.63999999,.16507,1007,1,1,26,0,1,0,26,0
.67000002,.089264996,1001,1,1,53,0,1,0,53,26
.69999999,.130697,535,0,0,56,0,1,0,56,53
.70999998,.105581,3410,0,0,53,0,1,0,53,26
.73000002,.05548,3716,0,0,53,0,1,0,53,26
.73000002,.055103999,3716,0,0,65,0,1,0,65,53
.67000002,.088399999,1001,1,1,26,0,1,0,26,0
.67000002,.087587997,207,1,1,26,0,1,0,26,0
.68000001,.26824901,1904,0,1,53,0,1,0,53,26
.61000001,.44286001,4607,0,1,78,0,1,0,78,65
.61000001,.44270501,3302,0,1,53,0,1,0,53,26
.69,.242212,3601,0,1,26,0,1,0,26,0
.75999999,.067469001,528,0,1,65,0,1,0,65,53
.68000001,.176929,403,0,0,65,0,1,0,65,53
.73000002,.052118,3716,0,0,72,0,1,0,72,65
.70999998,.101982,1902,0,0,65,0,1,0,65,53
.66000003,.22581699,706,0,0,65,0,1,0,65,53
.75999999,.065805003,4507,0,1,90,0,1,0,90,78
.66000003,.225633,706,0,0,53,0,1,0,53,26
.73000002,.050855,539,0,0,26,0,1,0,26,0
.69999999,.214349,3419,0,1,71,0,1,0,71,65
.74000001,.025056001,545,0,0,65,0,1,0,65,53
.70999998,.099036001,704,0,0,53,0,1,0,53,26
.73000002,.138109,1602,0,1,53,0,1,0,53,26
.73000002,.048209999,539,0,0,65,0,1,0,65,53
.70999998,.098004997,3410,0,0,26,0,1,0,26,0
.69,.14779601,2109,0,0,74,0,1,0,74,65
.61000001,.436232,4607,0,1,80,1,1,1,80,78
.61000001,.34623,3315,0,0,76,0,1,0,76,65
.74000001,.020865001,545,0,0,75,0,1,0,75,65
.62,.20383701,4108,1,1,78,0,1,0,78,65
.75,.084532999,1906,0,1,26,0,1,0,26,0
.75999999,.057932001,4507,0,1,65,0,1,0,65,53
.69999999,.001165,4220,1,1,26,0,1,0,26,0
.72000003,.066688001,3505,0,0,80,1,1,1,80,78
.68000001,.16518,3329,0,0,53,0,1,0,53,26
.72000003,.065045998,3505,0,0,65,0,1,0,65,53
.73000002,.038741998,539,0,0,53,0,1,0,53,26
.69999999,.112421,4508,0,0,26,0,1,0,26,0
.72000003,.061326999,3505,0,0,78,0,1,0,78,65
.75999999,.050581999,4507,0,1,53,0,1,0,53,26
.69999999,.109981,535,0,0,26,0,1,0,26,0
.72000003,.059927002,3505,0,0,53,0,1,0,53,26
.69,.133864,2109,0,0,53,0,1,0,53,26
.66000003,.092087999,901,1,1,65,0,1,0,65,53
.75999999,.048106,505,0,1,26,0,1,0,26,0
.68000001,.158136,3329,0,0,89,0,1,0,89,78
.72000003,.057985999,401,0,0,65,0,1,0,65,53
.62,.18880101,4108,1,1,65,0,1,0,65,53
.73000002,.030471999,3716,0,0,26,0,1,0,26,0
.74000001,.0053329999,3406,0,0,53,0,1,0,53,26
.73000002,.118818,1602,0,1,26,0,1,0,26,0
.74000001,.0041209999,3406,0,0,26,0,1,0,26,0
.74000001,.092533998,4703,0,1,65,0,1,0,65,53
.67000002,.26204199,4506,0,1,26,0,1,0,26,0
.75,.062334001,2107,0,1,78,0,1,0,78,65
.66000003,.080789,901,1,1,53,0,1,0,53,26
.72000003,.047403,401,0,0,78,0,1,0,78,65
.75,.061305001,1906,0,1,53,0,1,0,53,26
.74000001,.085152999,3414,0,1,65,0,1,0,65,53
.69999999,.094633996,2104,0,0,26,0,1,0,26,0
.66000003,.077965997,901,1,1,26,0,1,0,26,0
.69,.119503,2109,0,0,26,0,1,0,26,0
.73000002,.019146999,1603,0,0,53,0,1,0,53,26
.69999999,.18207601,3419,0,1,26,0,1,0,26,0
.69999999,.18144301,3419,0,1,65,0,1,0,65,53
.69999999,.180503,1509,0,1,71,0,1,0,71,65
.74000001,.079977997,4703,0,1,53,0,1,0,53,26
.73000002,.015407,1603,0,0,65,0,1,0,65,53
.58999997,.15857001,201,1,0,53,0,1,0,53,26
.68000001,.13941,3329,0,0,65,0,1,0,65,53
.73000002,.014001,1603,0,0,73,0,1,0,73,65
.74000001,.078502998,4701,0,1,24,0,1,0,24,0
.67000002,.25186801,3014,0,1,53,0,1,0,53,26
.72000003,.037369002,3505,0,0,26,0,1,0,26,0
.70999998,.14775001,3604,0,1,72,0,1,0,72,65
.69999999,.082337998,1413,0,0,53,0,1,0,53,26
.68000001,.132232,403,0,0,26,0,1,0,26,0
.69,.107272,2109,0,0,65,0,1,0,65,53
.69,.196702,3704,0,1,72,0,1,0,72,65
.67000002,.24627,4506,0,1,90,0,1,0,90,78
.73000002,.0070659998,1603,0,0,26,0,1,0,26,0
.69999999,.171032,1804,0,1,65,0,1,0,65,53
.69999999,.170909,1509,0,1,65,0,1,0,65,53
.69999999,.170909,3419,0,1,53,0,1,0,53,26
.68000001,.131034,403,0,0,53,0,1,0,53,26
.69999999,.170441,2305,0,1,26,0,1,0,26,0
.68000001,.130777,3329,0,0,78,0,1,0,78,65
.63,.34498,2206,0,1,65,0,1,0,65,53
.69999999,.079728998,1413,0,0,64,0,1,0,64,53
.68000001,.129186,4603,0,0,67,0,1,0,67,65
.67000002,.24339999,3014,0,1,65,0,1,0,65,53
.68000001,.12610599,3329,0,0,26,0,1,0,26,0
.58999997,.142588,201,1,0,26,0,1,0,26,0
.61000001,.29799801,3315,0,0,65,0,1,0,65,53
.74000001,.063026004,4703,0,1,26,0,1,0,26,0
.73000002,.087732002,402,0,1,71,0,1,0,71,65
.62,.15330499,4108,1,1,53,0,1,0,53,26
.70999998,.044091001,517,0,0,19,0,1,0,19,0
.74000001,.058531001,3414,0,1,26,0,1,0,26,0
.75999999,.0078360001,4507,0,1,26,0,1,0,26,0
.68000001,.206525,1420,0,1,47,0,1,0,47,26
.69,.181189,3704,0,1,53,0,1,0,53,26
.69,.180454,3704,0,1,65,0,1,0,65,53
.72000003,.015541,401,0,0,53,0,1,0,53,26
.75,.029902,2107,0,1,84,0,1,0,84,78
.69999999,.064759001,1413,0,0,26,0,1,0,26,0
.73000002,.075879,402,0,1,53,0,1,0,53,26
.72000003,.011031,401,0,0,26,0,1,0,26,0
.70999998,.035873,704,0,0,26,0,1,0,26,0
.74000001,.050446998,3414,0,1,53,0,1,0,53,26
.62,.053847,2606,1,0,58,0,1,0,58,53
.72000003,.010157,401,0,0,89,0,1,0,89,78
.75,.024651,2107,0,1,65,0,1,0,65,53
.69999999,.148976,2117,0,1,26,0,1,0,26,0
.75,.024011999,1906,0,1,63,0,1,0,63,53
.66000003,.24703699,1409,0,1,53,0,1,0,53,26
.73000002,.069753997,402,0,1,65,0,1,0,65,53
.68000001,.194004,1420,0,1,26,0,1,0,26,0
.69,.16806801,3704,0,1,26,0,1,0,26,0
.63,.109767,4406,1,1,65,0,1,0,65,53
.61000001,.36432299,4607,0,1,65,0,1,0,65,53
.75,.014626,2107,0,1,53,0,1,0,53,26
.69,.162063,1806,0,1,78,0,1,0,78,65
.63,.310976,2206,0,1,53,0,1,0,53,26
.62,.039997999,2606,1,0,53,0,1,0,53,26
.69999999,.135217,1509,0,1,53,0,1,0,53,26
.68000001,.18455701,1904,0,1,26,0,1,0,26,0
.63999999,.078106001,2402,1,1,75,0,1,0,75,65
.70999998,.109065,3604,0,1,65,0,1,0,65,53
.63999999,.28208199,4605,0,1,80,0,1,0,80,78
.63,.100206,4406,1,1,76,0,1,0,76,65
.67000002,.205651,2309,0,1,66,0,1,0,66,65
.70999998,.10552,3604,0,1,53,0,1,0,53,26
.66000003,.13989399,541,0,0,1,0,1,0,1,0
.68000001,.089133002,4603,0,0,53,0,1,0,53,26
.66000003,.139028,706,0,0,26,0,1,0,26,0
.70999998,.103248,4000,0,1,24,1,1,1,24,0
.63999999,.071497999,2402,1,1,65,0,1,0,65,53
.75,.00151,2107,0,1,26,0,1,0,26,0
.64999998,.250664,3002,0,1,75,0,1,0,75,65
.61000001,.054673001,2610,1,0,63,0,1,0,63,53
.73000002,.050310999,402,0,1,26,0,1,0,26,0
.69999999,.122667,1804,0,1,53,0,1,0,53,26
.69,.14731801,1806,0,1,65,0,1,0,65,53
.61000001,.048691001,2610,1,0,53,0,1,0,53,26
.69999999,.118807,1509,0,1,26,0,1,0,26,0
.62,.021795999,2606,1,0,26,0,1,0,26,0
.69,.14091299,1806,0,1,79,0,1,0,79,78
.72000003,.064011,1903,0,1,26,0,1,0,26,0
.68000001,.070211001,4603,0,0,65,0,1,0,65,53
.56,.162974,4102,1,0,83,0,1,0,83,78
.61000001,.243935,3315,0,0,53,0,1,0,53,26
.69999999,.108397,526,0,1,26,0,1,0,26,0
.68000001,.06724,4603,0,0,26,0,1,0,26,0
.70999998,.081404999,2301,0,1,26,0,1,0,26,0
.63,.280875,2206,0,1,26,0,1,0,26,0
.61000001,.034662001,2610,1,0,26,0,1,0,26,0
.60000002,.14774901,4402,1,1,76,0,1,0,76,65
.70999998,.078833997,2301,0,1,71,0,1,0,71,65
.63999999,.252754,4605,0,1,78,0,1,0,78,65
.56999999,.22133601,4103,1,1,78,0,1,0,78,65
.69,.127525,518,0,1,75,0,1,0,75,65
.70999998,.077473998,3604,0,1,26,0,1,0,26,0
.67000002,.175871,2309,0,1,65,0,1,0,65,53
.56999999,.21890099,4103,1,1,83,0,1,0,83,78
.69999999,.098582998,1804,0,1,26,0,1,0,26,0
.70999998,.071878001,2301,0,1,53,0,1,0,53,26
.50999999,.478374,512,0,0,75,0,1,0,75,65
.62,.086925998,4201,1,1,49,0,1,0,49,26
.67000002,.167088,3014,0,1,26,0,1,0,26,0
.66000003,.101311,2302,0,0,35,0,1,0,35,26
.62,.20076101,1908,0,0,89,0,1,0,89,78
.56999999,.32499501,2202,0,0,78,0,1,0,78,65
.58999997,.275042,2306,0,0,75,0,1,0,75,65
.62,.28521401,2114,0,1,84,0,1,0,84,78
.56999999,.31879699,2202,0,0,53,0,1,0,53,26
.61000001,.30718201,4607,0,1,53,0,1,0,53,26
.63,.051391002,4406,1,1,53,0,1,0,53,26
.70999998,.057195,2301,0,1,65,0,1,0,65,53
.56,.134491,4102,1,0,78,0,1,0,78,65
.69,.105162,1806,0,1,26,0,1,0,26,0
.67000002,.063366003,405,0,0,89,0,1,0,89,78
.64999998,.112127,3004,0,0,61,0,1,0,61,53
.58999997,.261428,2306,0,0,65,0,1,0,65,53
.69,.101175,518,0,1,53,0,1,0,53,26
.63999999,.13640299,1206,0,0,72,0,1,0,72,65
.69,.097747996,1806,0,1,53,0,1,0,53,26
.67000002,.146382,2309,0,1,53,0,1,0,53,26
.63,.246004,1604,0,1,84,0,1,0,84,78
.69,.096139997,518,0,1,26,0,1,0,26,0
.58999997,.25581601,2306,0,0,53,0,1,0,53,26
.66000003,.081064001,2801,0,0,38,0,1,0,38,26
.62,.17822701,3602,0,0,72,0,1,0,72,65
.62,.178187,1908,0,0,78,0,1,0,78,65
.56999999,.30112401,2202,0,0,65,0,1,0,65,53
.69,.090554997,518,0,1,65,0,1,0,65,53
.63,.239921,1604,0,1,78,0,1,0,78,65
.64999998,.189916,3002,0,1,65,0,1,0,65,53
.67000002,.049520999,3707,0,0,21,0,1,0,21,0
.62,.17357101,3602,0,0,65,0,1,0,65,53
.63,.03215,4406,1,1,26,0,1,0,26,0
.62,.262568,2114,0,1,78,0,1,0,78,65
.56999999,.29715699,2202,0,0,80,0,1,0,80,78
.64999998,.18661299,3002,0,1,53,0,1,0,53,26
.63999999,.0022,2402,1,1,53,0,1,0,53,26
.67000002,.042633999,405,0,0,78,0,1,0,78,65
.63999999,.00069000002,2402,1,1,26,0,1,0,26,0
.67000002,.13125201,800,0,1,75,0,1,0,75,65
.66000003,.066319004,2002,0,0,54,1,1,1,54,53
.66000003,.152913,532,0,1,26,0,1,0,26,0
.63,.13824201,1205,0,0,36,0,1,0,36,26
.5,.55193299,3320,0,1,82,0,1,0,82,78
.66000003,.062913999,2801,0,0,26,0,1,0,26,0
.57999998,.055826999,1006,1,0,5,0,1,0,5,0
.62,.161146,3723,0,0,70,0,1,0,70,65
.64999998,.085063003,3004,0,0,53,0,1,0,53,26
.62,.042982001,4201,1,1,26,0,1,0,26,0
.62,.248565,2303,0,1,53,0,1,0,53,26
.56999999,.28366399,2202,0,0,26,0,1,0,26,0
.63,.223418,2115,0,1,53,0,1,0,53,26
.66000003,.14726,532,0,1,39,0,1,0,39,26
.64999998,.082604997,3004,0,0,26,0,1,0,26,0
.64999998,.171363,3002,0,1,26,0,1,0,26,0
.62,.24585401,2114,0,1,65,0,1,0,65,53
.60000002,0,918,1,0,23,0,1,0,23,0
.66000003,.056015,2002,0,0,53,0,1,0,53,26
.56,.098819003,4102,1,0,65,0,1,0,65,53
.62,.24445701,2303,0,1,65,0,1,0,65,53
.70999998,.018851001,531,0,1,65,0,1,0,65,53
.67000002,.027791999,540,0,0,53,0,1,0,53,26
.63999999,.102249,542,0,0,53,0,1,0,53,26
.63999999,.190777,1411,0,1,53,1,1,1,53,26
.67000002,.115308,2309,0,1,26,0,1,0,26,0
.62,.033771999,4108,1,1,26,0,1,0,26,0
.63,.214049,2115,0,1,26,0,1,0,26,0
.60000002,.081270002,4402,1,1,53,0,1,0,53,26
.70999998,.011425,531,0,1,26,0,1,0,26,0
.67000002,.021153999,405,0,0,65,0,1,0,65,53
.63,.120785,606,0,0,85,0,1,0,85,78
.63999999,.095051996,542,0,0,65,0,1,0,65,53
.60000002,.077909,4402,1,1,65,0,1,0,65,53
.67000002,.018468,405,0,0,26,0,1,0,26,0
.62,.14229999,1908,0,0,65,0,1,0,65,53
.67000002,.017013,405,0,0,53,0,1,0,53,26
.56999999,.14994,4103,1,1,65,0,1,0,65,53
.70999998,.0057270001,531,0,1,53,0,1,0,53,26
.62,.14014,3602,0,0,53,0,1,0,53,26
.52999997,.247447,3903,1,1,61,0,1,0,61,53
.52999997,.15750401,906,1,0,70,0,1,0,70,65
.61000001,.047226999,1002,1,1,76,0,1,0,76,65
.63,.11333,606,0,0,78,0,1,0,78,65
.66000003,.037537001,2302,0,0,26,0,1,0,26,0
.67000002,.012109,540,0,0,26,0,1,0,26,0
.70999998,.00092100003,531,0,1,75,1,1,1,75,65
.63,.200449,2115,0,1,59,0,1,0,59,53
.56999999,.144125,4103,1,1,53,0,1,0,53,26
.63999999,.17394,4605,0,1,65,0,1,0,65,53
.62,.223333,2114,0,1,53,0,1,0,53,26
.67000002,.0090840003,540,0,0,64,0,1,0,64,53
.63999999,.17269,3502,0,1,78,0,1,0,78,65
.63999999,.082624003,1206,0,0,65,0,1,0,65,53
.61000001,.157323,3315,0,0,26,0,1,0,26,0
.62,.131295,3723,0,0,65,0,1,0,65,53
.63,.103243,1205,0,0,26,0,1,0,26,0
.61000001,.035402,1002,1,1,65,0,1,0,65,53
.62,.126728,3723,0,0,53,0,1,0,53,26
.63999999,.073880002,542,0,0,71,0,1,0,71,65
.57999998,.106009,2604,1,1,58,0,1,0,58,53
.66000003,.11032,1409,0,1,26,0,1,0,26,0
.63,.184201,534,0,1,26,0,1,0,26,0
.61000001,.23268799,4607,0,1,26,0,1,0,26,0
.66000003,.017394001,2002,0,0,26,0,1,0,26,0
.62,.114928,1908,0,0,53,0,1,0,53,26
.63999999,.064116001,1206,0,0,53,0,1,0,53,26
.52999997,.132503,906,1,0,65,0,1,0,65,53
.69,.026938999,1703,0,1,26,0,1,0,26,0
.61000001,.22604901,3411,0,1,61,0,1,0,61,53
.63,.17578501,534,0,1,53,0,1,0,53,26
.67000002,.075753003,800,0,1,26,0,1,0,26,0
.63,.085001998,606,0,0,65,0,1,0,65,53
.63999999,.148279,1411,0,1,26,0,1,0,26,0
.63999999,.058687001,542,0,0,26,0,1,0,26,0
.60000002,.042027,4402,1,1,26,0,1,0,26,0
.63,.172912,534,0,1,61,0,1,0,61,53
.63,.081923999,606,0,0,53,0,1,0,53,26
.63999999,.055801,537,0,0,26,0,1,0,26,0
.69,.019721,1703,0,1,42,0,1,0,42,26
.51999998,.237481,2608,1,1,59,0,1,0,59,53
.51999998,.234685,2608,1,1,53,0,1,0,53,26
.63999999,.138743,4605,0,1,53,0,1,0,53,26
.60000002,.031222001,1004,1,1,10,1,1,1,10,0
.62,.186876,2303,0,1,66,1,1,1,66,65
.56,.040274002,4102,1,0,53,0,1,0,53,26
.62,.185496,2114,0,1,26,0,1,0,26,0
.67000002,.059684001,800,0,1,53,0,1,0,53,26
.52999997,.31926301,3331,0,0,80,0,1,0,80,78
.61000001,.002934,1002,1,1,26,0,1,0,26,0
.63999999,.044039998,537,0,0,53,0,1,0,53,26
.61000001,.002325,1002,1,1,53,0,1,0,53,26
.57999998,.075933002,2604,1,1,53,0,1,0,53,26
.62,.092336997,3723,0,0,26,0,1,0,26,0
.61000001,.116665,1507,0,0,71,0,1,0,71,65
.62,.089011997,3602,0,0,26,0,1,0,26,0
.61000001,.113464,1507,0,0,26,0,1,0,26,0
.58999997,.161892,2306,0,0,26,0,1,0,26,0
.63999999,.036975998,537,0,0,61,0,1,0,61,53
.52999997,.19486,3903,1,1,26,0,1,0,26,0
.67000002,.0504,800,0,1,65,0,1,0,65,53
.52999997,.103918,906,1,0,53,0,1,0,53,26
.66000003,.07412,1409,0,1,64,0,1,0,64,53
.63,.148607,3706,0,1,24,0,1,0,24,0
.61000001,.108859,1507,0,0,65,0,1,0,65,53
.56,.027590999,4102,1,0,26,0,1,0,26,0
.63999999,.028616,1206,0,0,26,0,1,0,26,0
.58999997,.150012,2111,0,0,78,0,1,0,78,65
.52999997,.183056,3903,1,1,53,0,1,0,53,26
.63,.13903201,1604,0,1,26,0,1,0,26,0
.61000001,.096291997,1507,0,0,53,0,1,0,53,26
.63999999,.10854,3502,0,1,65,0,1,0,65,53
.63,.13299499,3201,0,1,53,0,1,0,53,26
.58999997,.143085,2111,0,0,53,0,1,0,53,26
.60000002,0,4205,1,1,26,0,1,0,26,0
.63999999,.104327,3502,0,1,53,0,1,0,53,26
.63,.128425,1604,0,1,65,0,1,0,65,53
.63,.12747499,1604,0,1,53,0,1,0,53,26
.5,.449357,3320,0,1,78,0,1,0,78,65
.57999998,.16011401,502,0,0,68,0,1,0,68,65
.62,.059893001,1908,0,0,26,0,1,0,26,0
.5,.153237,904,1,0,71,0,1,0,71,65
.57999998,.042720001,2604,1,1,26,0,1,0,26,0
.67000002,.024021,1810,0,1,22,0,1,0,22,0
.63,.030529,606,0,0,26,0,1,0,26,0
.63999999,.093906999,3502,0,1,81,0,1,0,81,78
.61000001,.167108,3411,0,1,53,0,1,0,53,26
.58999997,.125341,2111,0,0,26,0,1,0,26,0
.63999999,.084738001,3502,0,1,26,0,1,0,26,0
.52999997,.062261,906,1,0,26,0,1,0,26,0
.54000002,.124945,4405,1,1,76,0,1,0,76,65
.58999997,.113041,2111,0,0,84,1,1,1,84,78
.58999997,.112727,2111,0,0,65,0,1,0,65,53
.63999999,.072447002,4605,0,1,26,0,1,0,26,0
.51999998,.164768,2608,1,1,26,0,1,0,26,0
.5,.123533,904,1,0,65,0,1,0,65,53
.61000001,.14431199,3411,0,1,26,0,1,0,26,0
.54000002,.111627,2404,1,1,65,0,1,0,65,53
.56999999,.036706999,4103,1,1,26,0,1,0,26,0
.60000002,.076109998,3405,0,0,69,0,1,0,69,65
.57999998,.214793,2106,0,1,84,0,1,0,84,78
.56999999,.239696,3303,0,1,2,0,1,0,2,0
.52999997,.246939,3331,0,0,78,0,1,0,78,65
.62,.111604,3718,0,1,12,0,1,0,12,0
.63,.083917998,1302,0,1,73,0,1,0,73,65
.66000003,.0086120004,515,0,1,26,0,1,0,26,0
.57999998,.20764101,2106,0,1,78,0,1,0,78,65
.62,.107733,1403,0,1,64,1,1,1,64,53
.58999997,.093000002,538,0,0,75,0,1,0,75,65
.57999998,.114643,502,0,0,65,0,1,0,65,53
.63,.078566998,1302,0,1,65,0,1,0,65,53
.63,.077464998,702,0,1,73,0,1,0,73,65
.5,.105406,904,1,0,53,0,1,0,53,26
.50999999,.28623599,512,0,0,65,0,1,0,65,53
.62,.010986,100,0,0,50,1,1,1,50,26
.54000002,.209149,2102,0,0,81,0,1,0,81,78
.51999998,.052638002,3902,1,0,76,0,1,0,76,65
.54000002,.207435,2102,0,0,78,0,1,0,78,65
.51999998,.048757002,3902,1,0,65,0,1,0,65,53
.62,.0034419999,100,0,0,26,0,1,0,26,0
.60000002,.14275201,2501,0,1,53,0,1,0,53,26
.54000002,.086065002,914,1,1,39,0,1,0,39,31
.61000001,.116573,3323,0,1,75,0,1,0,75,65
.63,.066504002,1203,0,1,75,0,1,0,75,65
.60000002,.13841499,2501,0,1,26,0,1,0,26,0
.58999997,.072893001,538,0,0,26,0,1,0,26,0
.61000001,.112291,3006,0,1,75,0,1,0,75,65
.51999998,.130615,2605,1,1,56,0,1,0,56,53
.54000002,.078152999,2404,1,1,53,0,1,0,53,26
.63,.056527,3201,0,1,71,0,1,0,71,65
.60000002,.040998001,3314,0,0,65,0,1,0,65,53
.51999998,.123251,2605,1,1,53,0,1,0,53,26
.60000002,.129383,1504,0,1,61,0,1,0,61,53
.51999998,.033270001,3902,1,0,53,0,1,0,53,26
.57999998,.088656001,502,0,0,53,0,1,0,53,26
.60000002,.038343001,3405,0,0,65,0,1,0,65,53
.58999997,.062573999,538,0,0,65,0,1,0,65,53
.60000002,.035551,1201,0,0,53,0,1,0,53,26
.60000002,.035523999,3405,0,0,53,0,1,0,53,26
.60000002,.035477001,1201,0,0,65,0,1,0,65,53
.60000002,.033403002,1201,0,0,75,0,1,0,75,65
.60000002,.122756,2501,0,1,61,0,1,0,61,53
.51999998,.026691999,3902,1,0,26,0,1,0,26,0
.63,.047570001,1302,0,1,53,0,1,0,53,26
.57999998,.078551002,2308,0,0,27,0,1,0,27,26
.63999999,.01791,1422,0,1,26,0,1,0,26,0
.63,.042824,1203,0,1,53,0,1,0,53,26
.57999998,.077734999,2308,0,0,26,0,1,0,26,0
.61000001,.091794997,3006,0,1,53,0,1,0,53,26
.63,.041529,1203,0,1,65,0,1,0,65,53
.57999998,.165236,2106,0,1,65,0,1,0,65,53
.63999999,.01332,1417,0,1,40,0,1,0,40,26
.61000001,.087939002,1508,0,1,60,0,1,0,60,53
.61000001,.087718002,3006,0,1,65,0,1,0,65,53
.5,.36178699,3320,0,1,65,0,1,0,65,53
.55000001,.14754,4800,0,0,65,0,1,0,65,53
.60000002,.021802999,3314,0,0,77,0,1,0,77,65
.63999999,.0086749997,1417,0,1,26,0,1,0,26,0
.51999998,.101188,3904,1,1,71,1,1,1,71,65
.5,.061462998,2611,1,0,68,1,1,1,68,65
