iv,ec,caseid,south,dem,te,cut_hi,_st,_d,_t,_t0
.63,.55485302,1010,1,1,53,0,1,0,53,26
.74000001,.39415899,4606,0,0,89,0,1,0,89,78
.85000002,.208537,3421,0,1,53,0,1,0,53,26
.69999999,.48925701,3304,0,0,26,0,1,0,26,0
.77999997,.37883601,1905,0,1,53,0,1,0,53,26
.88,.128815,3311,0,1,89,0,1,0,89,78
.93000001,0,3318,0,1,26,0,1,0,26,0
.67000002,.442099,2607,1,1,65,0,1,0,65,53
.85000002,.198019,525,0,1,65,0,1,0,65,53
.72000003,.52226597,3332,0,1,65,0,1,0,65,53
.85000002,.197879,525,0,1,53,0,1,0,53,26
.85000002,.19643199,525,0,1,75,0,1,0,75,65
.67000002,.43871999,2607,1,1,53,0,1,0,53,26
.85000002,.195224,3421,0,1,65,0,1,0,65,53
.91000003,.044477001,2101,0,1,73,0,1,0,73,65
.88,.118428,3311,0,1,78,0,1,0,78,65
.70999998,.45252001,1415,0,0,64,0,1,0,64,53
.72000003,.51607502,3332,0,1,53,0,1,0,53,26
.70999998,.45025301,1415,0,0,53,0,1,0,53,26
.67000002,.432372,2607,1,1,26,0,1,0,26,0
.74000001,.37379199,4606,0,0,78,0,1,0,78,65
.69,.381603,916,1,1,53,0,1,0,53,26
.69,.37557799,916,1,1,65,0,1,0,65,53
.75999999,.200708,3906,1,1,26,0,1,0,26,0
.80000001,.30365101,1808,0,1,90,0,1,0,90,78
.77999997,.147129,1005,1,1,53,0,1,0,53,26
.88,.103286,3311,0,1,53,0,1,0,53,26
.63,.51983303,1010,1,1,26,0,1,0,26,0
.67000002,.62438899,3009,0,1,65,0,1,0,65,53
.72000003,.408104,3402,0,0,53,0,1,0,53,26
.72000003,.49707699,3332,0,1,26,0,1,0,26,0
.88,.093578003,3311,0,1,26,0,1,0,26,0
.91000003,.018466,2101,0,1,53,0,1,0,53,26
.72000003,.48969501,524,0,1,62,0,1,0,62,53
.72000003,.39700401,3402,0,0,65,0,1,0,65,53
.76999998,.36169299,701,0,1,89,0,1,0,89,78
.91000003,.01145,2101,0,1,65,0,1,0,65,53
.77999997,.12987199,1005,1,1,26,0,1,0,26,0
.69,.35419399,304,1,1,53,0,1,0,53,26
.80000001,.285467,1808,0,1,78,0,1,0,78,65
.70999998,.42025399,1415,0,0,26,0,1,0,26,0
.88,.085173003,3311,0,1,65,0,1,0,65,53
.76999998,.35743701,701,0,1,78,0,1,0,78,65
.69,.35045201,304,1,1,74,0,1,0,74,65
.69,.35043001,304,1,1,26,0,1,0,26,0
.74000001,.33997899,4606,0,0,53,0,1,0,53,26
.74000001,.33969101,4606,0,0,65,0,1,0,65,53
.72000003,.383295,3402,0,0,26,0,1,0,26,0
.73000002,.150473,910,1,0,78,0,1,0,78,65
.80000001,.26579699,1808,0,1,26,0,1,0,26,0
.72000003,.46529701,524,0,1,53,0,1,0,53,26
.73000002,.14290901,910,1,0,88,0,1,0,88,78
.85000002,.137475,525,0,1,26,0,1,0,26,0
.67000002,.57681102,3009,0,1,53,0,1,0,53,26
.75999999,.35165599,3701,0,1,72,0,1,0,72,65
.66000003,.301128,915,1,0,88,0,1,0,88,78
.69,.315373,304,1,1,65,0,1,0,65,53
.67000002,.56980997,3009,0,1,26,0,1,0,26,0
.67000002,.27122799,4206,1,0,26,0,1,0,26,0
.73000002,.32675201,3710,0,0,72,0,1,0,72,65
.81,.010682,4109,1,1,78,0,1,0,78,65
.81,.010419,4109,1,1,65,0,1,0,65,53
.77999997,.20153201,3721,0,0,72,0,1,0,72,65
.81,.007007,4109,1,1,83,0,1,0,83,78
.81,.006486,4109,1,1,53,0,1,0,53,26
.74000001,.29697901,4606,0,0,26,0,1,0,26,0
.81,.003453,2405,1,1,34,0,1,0,34,26
.74000001,.29436901,4609,0,0,89,0,1,0,89,78
.73000002,.31822699,3710,0,0,53,0,1,0,53,26
.81,.00027600001,4109,1,1,26,0,1,0,26,0
.81,0,2405,1,1,26,0,1,0,26,0
.66000003,.28361899,915,1,0,78,0,1,0,78,65
.73000002,.31196499,3710,0,0,26,0,1,0,26,0
.77999997,.18606301,3721,0,0,65,0,1,0,65,53
.80000001,.13525,3412,0,0,65,0,1,0,65,53
.75,.25641799,1412,0,0,64,0,1,0,64,53
.69999999,.470182,511,0,1,26,0,1,0,26,0
.75999999,.32036,3701,0,1,65,0,1,0,65,53
.86000001,.069799997,510,0,1,75,0,1,0,75,65
.69,.19853801,4226,1,0,61,0,1,0,61,53
.80000001,.21934301,1808,0,1,53,0,1,0,53,26
.73000002,.096112996,910,1,0,65,0,1,0,65,53
.77999997,.26646999,1905,0,1,26,0,1,0,26,0
.73000002,.093358003,910,1,0,26,0,1,0,26,0
.66000003,.354563,206,1,1,75,0,1,0,75,65
.73000002,.090333,910,1,0,53,0,1,0,53,26
.62,.454061,1009,1,1,8,0,1,0,8,0
.73000002,.29565299,3710,0,0,65,0,1,0,65,53
.75999999,.308792,4601,0,1,78,0,1,0,78,65
.74000001,.26697099,4609,0,0,78,0,1,0,78,65
.73000002,.084357001,4401,1,0,75,0,1,0,75,65
.77999997,.16520201,3721,0,0,53,0,1,0,53,26
.76999998,.279331,701,0,1,53,0,1,0,53,26
.76999998,.27895099,701,0,1,65,0,1,0,65,53
.70999998,.129962,913,1,0,78,0,1,0,78,65
.74000001,.34784299,2208,0,1,41,0,1,0,41,26
.74000001,.25692999,1704,0,0,62,0,1,0,62,53
.86000001,.046225,3306,0,1,78,0,1,0,78,65
.86000001,.043653,510,0,1,53,0,1,0,53,26
.86000001,.041460998,3306,0,1,89,0,1,0,89,78
.75999999,.289626,3403,0,1,71,0,1,0,71,65
.77999997,.15007199,3721,0,0,26,0,1,0,26,0
.75999999,.28819799,4601,0,1,89,0,1,0,89,78
.80000001,.187856,1808,0,1,65,0,1,0,65,53
.75999999,.28753299,3403,0,1,53,0,1,0,53,26
.86000001,.034221999,3306,0,1,65,0,1,0,65,57
.80000001,.093978003,3412,0,0,53,0,1,0,53,26
.73000002,.060495999,4401,1,0,53,0,1,0,53,26
.68000001,.48001701,507,0,1,53,0,1,0,53,26
.69,.15901899,4226,1,0,53,0,1,0,53,26
.74000001,.32939601,2208,0,1,26,0,1,0,26,0
.80000001,.089762002,3412,0,0,26,0,1,0,26,0
.70999998,.10729,913,1,0,65,0,1,0,65,53
.68000001,.47742301,507,0,1,63,0,1,0,63,53
.83999997,.077462003,3317,0,1,53,0,1,0,53,26
.63,.39457199,4409,1,1,76,0,1,0,76,65
.70999998,.105274,913,1,0,53,0,1,0,53,26
.86000001,.024604,510,0,1,26,0,1,0,26,0
.73000002,.053328998,4401,1,0,65,0,1,0,65,53
.79000002,.198608,516,0,1,72,1,1,1,72,65
.70999998,.102256,913,1,0,88,0,1,0,88,78
.86000001,.023363,3306,0,1,57,0,1,0,57,26
.75999999,.27282599,3403,0,1,65,0,1,0,65,53
.86000001,.020780999,510,0,1,65,0,1,0,65,53
.74000001,.230295,1704,0,0,53,0,1,0,53,26
.74000001,.229634,4609,0,0,65,0,1,0,65,53
.73000002,.342998,506,0,1,63,0,1,0,63,53
.66000003,.31134999,206,1,1,53,0,1,0,53,26
.86000001,.018061001,3306,0,1,26,0,1,0,26,0
.83999997,.067521997,3317,0,1,65,0,1,0,65,53
.66000003,.31018499,206,1,1,65,0,1,0,65,53
.72000003,.27634901,2105,0,0,82,0,1,0,82,78
.68000001,.464268,507,0,1,26,0,1,0,26,0
.74000001,.223555,3321,0,0,78,0,1,0,78,65
.73000002,.33738899,3506,0,1,87,0,1,0,87,78
.75999999,.262483,3403,0,1,26,0,1,0,26,0
.83999997,.061407998,3317,0,1,71,0,1,0,71,65
.72000003,.36047801,2108,0,1,84,1,1,1,84,81
.68000001,.164708,4410,1,0,73,0,1,0,73,65
.73000002,.039778002,4401,1,0,26,0,1,0,26,0
.72000003,.26902199,2105,0,0,78,0,1,0,78,65
.75999999,.258472,3701,0,1,53,0,1,0,53,26
.73000002,.33207199,3506,0,1,78,0,1,0,78,65
.69,.136042,4226,1,0,26,0,1,0,26,0
.69,.22542299,3905,1,1,65,0,1,0,65,53
.69,.224757,3905,1,1,53,0,1,0,53,26
.64999998,.322088,2601,1,1,57,0,1,0,57,53
.75999999,.249424,4601,0,1,65,0,1,0,65,53
.63,.277356,3901,1,0,74,0,1,0,74,65
.64999998,.42987999,3305,0,0,74,0,1,0,74,65
.75,.17990901,3005,0,0,75,0,1,0,75,65
.76999998,.218713,3010,0,1,75,0,1,0,75,65
.74000001,.203462,4504,0,0,78,0,1,0,78,65
.79000002,.167969,516,0,1,26,0,1,0,26,0
.74000001,.20130301,4609,0,0,53,0,1,0,53,26
.74000001,.201121,4504,0,0,90,0,1,0,90,78
.73000002,.315483,506,0,1,53,0,1,0,53,26
.79000002,.16497,516,0,1,65,0,1,0,65,53
.74000001,.1997,4504,0,0,65,0,1,0,65,53
.64999998,.218263,2609,1,0,71,0,1,0,71,65
.74000001,.198838,3321,0,0,89,0,1,0,89,78
.66000003,.281977,206,1,1,26,0,1,0,26,0
.69,.206062,916,1,1,26,0,1,0,26,0
.63,.355656,4409,1,1,65,0,1,0,65,53
.83999997,.037590001,3317,0,1,26,0,1,0,26,0
.72000003,.336092,1903,0,1,78,0,1,0,78,65
.70999998,.36100999,1204,0,1,75,0,1,0,75,65
.72000003,.24574,2105,0,0,65,0,1,0,65,53
.72000003,.33450499,2108,0,1,81,0,1,0,81,65
.66000003,.187719,915,1,0,65,0,1,0,65,53
.66000003,.187133,915,1,0,53,0,1,0,53,26
.75999999,.23051,4601,0,1,53,0,1,0,53,26
.77999997,.090786003,3416,0,0,26,0,1,0,26,0
.63,.25866899,3901,1,0,65,0,1,0,65,53
.75999999,.22948501,505,0,1,61,0,1,0,61,53
.77999997,.089918002,3416,0,0,53,0,1,0,53,26
.64999998,.297227,2601,1,1,53,0,1,0,53,26
.70999998,.35304201,1204,0,1,65,0,1,0,65,53
.83999997,.02868,1805,0,1,26,0,1,0,26,0
.73000002,.213442,1406,0,0,64,0,1,0,64,53
.70999998,.35195899,2304,0,1,71,0,1,0,71,65
.73000002,.21257199,1406,0,0,53,0,1,0,53,26
.77999997,.087079003,3416,0,0,65,0,1,0,65,53
.64999998,.29463601,2601,1,1,26,0,1,0,26,0
.83999997,.026411001,1805,0,1,53,0,1,0,53,26
.72000003,.234657,2105,0,0,53,0,1,0,53,26
.77999997,.083796002,3416,0,0,67,0,1,0,67,65
.79000002,.147037,516,0,1,53,0,1,0,53,26
.77999997,.17178901,3714,0,1,26,0,1,0,26,0
.73000002,.296078,3506,0,1,65,0,1,0,65,53
