id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
883,40,someone else,47,16,10,12,female,moderate,73.199997,35.400002,38.900002
884,,someone else,62,18,13,14,female,,71.599998,63.5,
885,45,self-employed,62,12,8,12,male,,30.4,38.099998,
886,85,someone else,48,20,18,18,male,slghtly conservative,97.199997,64.199997,64.199997
887,,,19,11,12,13,male,liberal,,32.299999,30.700001
888,,self-employed,39,18,12,16,male,,83.699997,54.200001,73.199997
889,50,someone else,38,16,18,16,male,,87.900002,83.699997,69.199997
890,40,someone else,52,16,,12,female,,29.200001,,29.299999
891,40,someone else,52,12,16,16,male,slightly liberal,64.099998,64.099998,38.900002
892,20,someone else,41,12,8,11,female,liberal,64.099998,29.5,38.900002
893,40,someone else,43,13,12,12,male,,35.099998,38.200001,32
894,60,someone else,62,12,12,8,female,liberal,63.5,50.700001,38.900002
895,,someone else,81,12,5,12,female,moderate,38.400002,22.700001,
896,,,42,12,12,12,female,,,35.400002,38.400002
897,40,someone else,47,12,12,9,male,,31.5,44.700001,
898,40,someone else,49,12,12,12,male,slightly liberal,36.5,36.5,37.900002
899,,someone else,74,,3,20,female,moderate,29.6,42.200001,
900,40,someone else,55,19,12,10,female,slghtly conservative,78.5,37.299999,
901,45,someone else,44,12,12,12,male,,34,34,36.099998
902,42,someone else,46,14,14,10,female,conservative,27.5,27.700001,27.700001
903,16,someone else,74,6,8,8,male,moderate,28.4,37.299999,
904,,someone else,19,12,,12,female,,32.400002,,64.099998
905,40,someone else,31,12,12,,female,,26.700001,44.700001,
906,48,someone else,26,12,15,16,male,moderate,29.4,67,76.400002
907,,someone else,69,12,12,12,female,moderate,34.599998,76.400002,
908,40,self-employed,71,12,8,10,female,,29.299999,37.299999,
909,50,someone else,35,12,10,11,male,,76.400002,31.5,38.900002
910,,someone else,44,2,8,10,female,slightly liberal,62.5,27.700001,34.799999
911,40,someone else,19,12,11,15,female,,63.5,39.700001,33.099998
912,14,someone else,44,17,18,12,female,moderate,56.599998,85.099998,
913,,someone else,28,12,12,12,male,moderate,50.700001,63.200001,45.799999
914,,someone else,53,18,14,14,female,,80.900002,63.5,37.700001
915,45,self-employed,59,12,16,18,male,,31.4,73.900002,38.400002
916,,,72,12,7,8,female,,,35.099998,26.5
917,40,someone else,59,18,10,10,male,,63.200001,34.200001,
918,40,someone else,39,14,12,,male,,36.5,48.5,
919,20,someone else,22,11,,,male,slightly liberal,31.299999,,
920,35,someone else,31,15,12,10,male,moderate,37.299999,62.099998,28.4
921,72,someone else,66,12,,,male,,29.299999,,
922,,someone else,76,13,6,8,female,,37,38,
923,50,someone else,43,12,9,12,male,liberal,33.599998,30.1,25.299999
924,,someone else,76,8,,,female,,26.5,37.799999,22.5
925,16,self-employed,61,12,2,2,female,,50.700001,37.299999,
926,,someone else,30,12,,,female,,62.099998,,
927,,,50,12,,8,female,slghtly conservative,,63.5,
928,42,self-employed,54,12,11,16,female,,22.5,48.799999,33.099998
929,,someone else,47,12,10,12,male,liberal,31.5,31.5,26.4
930,6,someone else,36,8,,12,male,,26.5,26.5,26.700001
931,,someone else,70,12,12,12,female,,29.299999,63.5,
932,,someone else,26,12,,,male,,38.099998,38.900002,
933,27,someone else,54,11,,,female,,21.200001,,
934,48,someone else,43,14,12,16,female,moderate,62.200001,,38.900002
935,45,someone else,52,20,16,10,female,,85.099998,76.400002,40
936,40,someone else,43,12,6,12,male,,48.5,32.700001,27.5
937,40,someone else,37,12,11,12,female,moderate,31.4,33.099998,29.299999
938,,someone else,51,13,3,6,female,,32.400002,26.5,32.400002
939,50,someone else,35,14,16,12,female,,62.5,63.5,37.900002
940,,someone else,35,15,,12,female,,33.099998,,37.900002
941,,someone else,25,14,,14,male,liberal,41.599998,,38
942,,someone else,87,6,5,5,female,,27.5,37.299999,
943,,someone else,81,5,,,male,moderate,27.5,,
944,42,someone else,62,12,8,8,male,slghtly conservative,48.5,32.799999,
945,37,someone else,40,12,5,5,female,,35.200001,31.5,22.5
946,41,someone else,45,12,2,8,female,,68.800003,47.900002,
947,28,someone else,21,12,12,7,male,liberal,27.5,34.200001,29
948,,,43,12,,,female,moderate,,,
949,,,67,6,1,4,female,moderate,,26.5,
950,,someone else,35,12,12,8,female,,33.099998,,32.400002
951,,someone else,51,20,,,male,,62,,
952,50,someone else,43,15,,3,female,,31.700001,,
953,35,someone else,80,12,3,,female,moderate,76.400002,37.299999,
954,60,someone else,48,15,12,16,female,slightly liberal,85.099998,62.5,78.5
955,86,someone else,43,14,20,12,male,,60.5,69.699997,50.700001
956,50,someone else,48,14,8,12,female,moderate,63.5,37.299999,50.5
957,,someone else,75,18,,8,male,slightly liberal,63.200001,,
958,40,self-employed,68,18,6,13,male,,50.700001,29.4,29.4
959,,someone else,69,17,10,17,male,,86.800003,32.400002,
960,52,someone else,48,12,,,male,moderate,44.700001,,22.9
961,45,self-employed,24,14,14,14,male,,83.699997,36.5,63.5
962,43,someone else,31,14,16,16,male,slightly liberal,83.699997,73.900002,62.5
963,40,someone else,54,14,12,12,female,slightly liberal,36.5,50.700001,37.700001
964,,someone else,64,14,,,female,moderate,45.400002,31.5,
965,50,someone else,22,13,16,14,male,slghtly conservative,50.700001,63.5,36.900002
966,42,someone else,37,16,9,14,female,,76.300003,34,38.400002
967,,someone else,47,18,16,18,male,,35.099998,87.900002,78.5
968,30,self-employed,26,12,12,11,female,moderate,28.4,37.299999,49.299999
969,10,someone else,29,13,12,12,female,slghtly conservative,38.900002,63.5,38.900002
970,40,self-employed,38,10,10,12,male,,30.1,38.200001,27.700001
971,49,someone else,26,12,12,18,male,moderate,39,26.700001,33.099998
972,37,someone else,27,12,10,12,female,slghtly conservative,33.299999,63.5,27.700001
973,37,someone else,55,12,12,12,female,,27.5,34.299999,33.900002
974,45,someone else,26,17,12,12,male,,48.5,48.5,29.5
975,40,someone else,22,14,16,14,female,,68.099998,64.099998,73.199997
976,,someone else,26,12,8,16,male,slightly liberal,26.700001,28.4,73.199997
977,32,someone else,23,12,12,16,male,moderate,34.299999,52.400002,36.5
978,40,someone else,48,12,,2,male,,29.200001,,25.5
979,,someone else,64,16,14,12,female,,78.5,44.200001,38.400002
980,,self-employed,68,12,10,12,male,slightly liberal,29.299999,29.299999,38.400002
981,37,someone else,21,12,,8,female,moderate,57.099998,,
982,40,someone else,27,13,12,10,male,,50.299999,29.200001,50.700001
983,39,someone else,21,13,12,16,female,,41.599998,28.4,37.599998
984,30,someone else,28,12,,14,female,,38,,73.699997
985,40,someone else,56,15,10,12,male,,62.5,37.299999,
986,,someone else,63,12,12,12,female,,29.200001,45.799999,
987,,self-employed,48,14,13,11,male,slightly liberal,63.5,39.400002,29.799999
988,30,someone else,44,12,8,12,female,,27.5,29.4,
989,,someone else,20,12,20,16,male,slghtly conservative,28.4,73.900002,69.199997
990,40,someone else,62,12,13,12,female,extrmly conservative,38,86,
991,16,someone else,60,12,11,10,female,conservative,36.900002,34.200001,22.5
992,30,someone else,22,14,12,16,male,,37.299999,37.299999,76.400002
993,40,someone else,24,16,12,10,male,,32.400002,29.200001,
994,36,someone else,41,15,12,8,female,moderate,73.199997,27.700001,27.700001
995,,someone else,44,12,10,12,female,slghtly conservative,36.5,42.900002,17.1
996,,someone else,58,12,5,8,female,conservative,32,37.299999,
997,,someone else,77,10,,,female,,32,36.700001,
998,50,someone else,40,12,12,12,male,slightly liberal,50.700001,29.200001,29.799999
999,12,self-employed,27,12,12,12,male,moderate,34.200001,44.700001,32.400002
1000,60,someone else,30,13,,11,male,moderate,76.300003,,26.700001
1001,25,someone else,23,15,12,12,female,,78.5,27.700001,33.099998
1002,,someone else,37,10,12,,female,slghtly conservative,33.099998,27.700001,
1003,,someone else,65,12,,5,female,,29.799999,29.4,
1004,,someone else,22,12,12,12,female,moderate,38.900002,44.700001,50.700001
1005,,someone else,40,15,20,12,female,,50.700001,73.300003,38.900002
1006,,someone else,85,12,8,8,female,,48.5,37.299999,
1007,20,someone else,66,8,6,7,female,moderate,36.5,32.299999,
1008,50,someone else,27,14,12,14,male,,29.200001,44.299999,
1009,,someone else,84,15,8,8,female,,68.800003,48.5,
1010,,someone else,69,8,,3,female,moderate,30.5,,
1011,20,self-employed,41,12,8,8,female,,30.799999,37.299999,
1012,70,self-employed,33,12,7,,female,,63.5,35.099998,
1013,45,someone else,38,12,11,12,male,,38.099998,32.299999,
1014,40,someone else,24,12,,9,male,moderate,29.4,,
1015,70,someone else,38,14,,8,male,moderate,44.700001,36.400002,
1016,48,someone else,38,11,,,male,moderate,34.299999,,
1017,38,someone else,47,13,14,12,female,,27.5,37.700001,
1018,,someone else,79,8,,7,male,,45.799999,28.6,22.5
1019,,someone else,63,12,8,12,female,conservative,43.700001,29.200001,22.5
1020,40,someone else,50,16,12,12,male,liberal,85.099998,44.700001,27.5
1021,40,someone else,41,14,12,,male,moderate,73.300003,33.299999,
1022,40,self-employed,55,16,8,12,male,,34.400002,45.400002,38.400002
1023,,someone else,23,14,8,13,female,slightly liberal,64.099998,48.5,67
1024,60,someone else,54,19,13,16,female,,78.5,37.299999,73.199997
1025,40,someone else,51,12,14,12,female,slightly liberal,53.299999,45.900002,37.700001
1026,,someone else,39,11,,,male,conservative,31.4,,
1027,40,someone else,32,15,18,14,male,,37.900002,63.200001,
1028,50,someone else,28,20,,15,male,,66.099998,,83.699997
1029,,,23,16,16,18,male,,,63.5,85.099998
1030,,someone else,58,12,14,12,female,moderate,38,63.5,
1031,50,self-employed,43,12,12,11,female,slightly liberal,30.799999,63.5,
1032,37,someone else,51,10,0,0,male,slghtly conservative,38.900002,50.700001,
1033,40,self-employed,69,16,,8,male,conservative,63.5,37.299999,
1034,45,someone else,44,13,12,12,male,moderate,64.099998,,37.700001
1035,35,self-employed,45,14,12,12,male,conservative,53.700001,50.700001,37.700001
1036,10,someone else,31,12,12,12,female,,46.700001,49.900002,
1037,,someone else,64,13,8,12,male,,45.400002,27.700001,27.5
1038,,someone else,71,10,8,8,female,extrmly conservative,35.099998,37.299999,
1039,32,someone else,41,13,14,12,female,moderate,28.6,80.300003,28.4
1040,,someone else,36,12,,,female,,29.299999,28.200001,
1041,,someone else,68,13,12,12,female,,54.200001,53.900002,
1042,,,78,11,11,11,female,moderate,,37.299999,
1043,,someone else,51,10,7,12,female,moderate,21.200001,44.700001,34.799999
1044,30,self-employed,26,14,12,12,female,,33.099998,26.700001,26.700001
1045,,someone else,59,16,12,,male,conservative,63.5,38.200001,
1046,24,someone else,53,16,19,12,female,,36.5,92.300003,
1047,,someone else,89,12,4,,female,,37.700001,73.900002,
1048,,,78,12,,,female,,,86.5,
1049,,someone else,77,18,4,15,female,conservative,78.5,37.299999,78.5
1050,20,someone else,61,13,14,14,female,extremely liberal,31.4,78.699997,38.400002
1051,9,someone else,63,18,12,14,female,,56.599998,63.5,73.199997
1052,,someone else,69,9,8,8,male,extremely liberal,35.400002,33.900002,
1053,60,someone else,49,18,14,12,female,conservative,78.5,63.5,
1054,44,someone else,37,13,14,12,male,,38.900002,38.900002,38.900002
1055,80,self-employed,51,19,16,14,male,,82.699997,86.599998,
1056,45,self-employed,53,19,,14,male,liberal,92.300003,,68.099998
1057,,someone else,64,12,,6,male,,65.800003,,38.400002
1058,,someone else,26,11,,,female,slghtly conservative,73.300003,,
1059,16,someone else,26,10,,14,female,,32.299999,,29.299999
1060,,someone else,77,16,11,8,female,,62.5,32.299999,
1061,,someone else,63,18,,4,male,slghtly conservative,86,,
1062,40,someone else,60,17,12,13,female,slightly liberal,78.5,49.599998,
1063,40,someone else,30,12,12,12,male,,29.4,31.5,33.900002
1064,47,someone else,51,15,7,11,male,moderate,36.5,63.5,
1065,87,someone else,25,11,11,14,male,conservative,32.299999,,
1066,40,someone else,40,13,14,16,female,slghtly conservative,33.299999,39.400002,48.5
1067,43,self-employed,23,11,12,,male,,50.299999,31.299999,
1068,45,someone else,36,12,,12,male,,37.900002,,48.5
1069,,self-employed,71,9,3,2,female,,22.5,,
1070,40,someone else,25,11,10,11,male,slghtly conservative,34.200001,38.200001,32.400002
1071,40,someone else,31,12,12,10,female,,50.5,35.400002,32.400002
1072,32,someone else,36,12,10,12,male,slghtly conservative,30,30,28.4
1073,,someone else,33,13,0,12,female,slightly liberal,75.199997,49.599998,
1074,40,someone else,65,13,8,13,male,slghtly conservative,48.5,31.5,
1075,,someone else,,16,12,12,female,conservative,83.699997,37.299999,
1076,,someone else,58,20,8,12,male,slightly liberal,85.099998,,33.099998
1077,48,someone else,58,13,10,8,male,,63.900002,32.299999,38
1078,,someone else,68,12,8,8,female,moderate,37.700001,39,26.700001
1079,,someone else,33,16,20,,female,liberal,85.800003,87,
1080,,someone else,28,14,12,16,female,,76.400002,,39.599998
1081,40,someone else,54,12,,10,female,,35.400002,32.299999,
1082,84,someone else,47,16,12,16,female,,73.199997,53.900002,78.5
1083,,,20,14,12,18,female,extrmly conservative,,39.400002,71.599998
1084,,someone else,29,14,,6,male,slghtly conservative,63.200001,,
1085,,someone else,52,13,3,,female,slghtly conservative,63.5,34.200001,
1086,,someone else,64,13,12,12,male,,29.799999,50.700001,46
1087,44,someone else,47,13,12,13,female,,63.5,28.6,
1088,,someone else,66,18,,12,male,conservative,36.5,,60.599998
1089,40,someone else,54,16,12,16,female,conservative,73.199997,32.400002,78.5
1090,,self-employed,73,16,8,12,male,slghtly conservative,64.199997,49.599998,
1091,,someone else,33,12,,12,female,,33.599998,29.200001,
1092,60,someone else,48,18,18,12,male,,85.099998,85.099998,
1093,40,someone else,25,8,12,6,female,,34.799999,38.900002,
1094,50,someone else,58,12,12,12,male,conservative,31.5,86.5,32.400002
1095,,someone else,88,12,4,8,female,conservative,29.200001,29.200001,
1096,,someone else,62,18,10,12,female,,60.5,50.700001,33.099998
1097,,someone else,71,14,8,12,male,,65.800003,37.299999,
1098,,someone else,78,16,16,12,male,moderate,78,69.199997,
1099,,someone else,37,17,12,12,female,,73.199997,34.200001,26.4
1100,,self-employed,57,13,12,12,female,,38.400002,63.200001,26.4
1101,32,self-employed,52,12,7,7,female,,29.299999,63.5,18.5
1102,,someone else,82,10,,,female,slghtly conservative,27.5,26.700001,26.700001
1103,,,37,14,,12,female,slghtly conservative,,,32
1104,36,someone else,23,12,12,12,female,extrmly conservative,42.200001,47,60.599998
1105,65,someone else,35,14,14,13,male,,82.699997,34.200001,29.799999
1106,20,someone else,31,12,,13,female,,27.5,,38.400002
1107,,someone else,75,15,12,10,female,conservative,78.5,37.299999,
1108,,someone else,86,11,12,,male,,64.099998,37.299999,
1109,20,someone else,70,10,9,12,male,,33.200001,36.5,
1110,50,someone else,58,17,12,16,male,,50.700001,61.900002,73.199997
1111,80,someone else,59,15,11,17,male,conservative,34.200001,73.300003,36.5
1112,40,someone else,56,12,16,12,female,moderate,38.400002,73.900002,38.900002
1113,40,someone else,41,12,16,12,female,,74.400002,86.5,38.400002
1114,40,self-employed,46,12,12,12,female,,50.700001,33.099998,38.400002
1115,,someone else,83,8,,,female,liberal,63.5,37.299999,
1116,,someone else,49,12,,12,female,conservative,17.1,33.900002,51.900002
1117,52,someone else,20,12,12,12,male,,25.9,63.200001,38.900002
1118,45,someone else,39,14,,14,male,,35.099998,,37.700001
1119,40,someone else,28,14,12,12,female,,63.200001,67,37.299999
1120,24,someone else,72,12,,10,female,conservative,36.5,33.200001,22.5
1121,,someone else,24,13,12,12,female,slightly liberal,33.900002,55.099998,22.5
1122,35,someone else,20,11,,16,female,moderate,78.5,28.4,37.700001
1123,,someone else,58,8,,,male,,29.1,36.5,
1124,,self-employed,80,12,12,12,male,,33.299999,63.5,
1125,20,someone else,54,12,14,12,male,,60.5,49.599998,51.900002
1126,40,someone else,50,12,,6,female,slightly liberal,50.5,28.6,25.200001
1127,40,someone else,35,16,14,14,female,moderate,73.199997,54.5,73.199997
1128,38,someone else,59,12,8,10,female,,42.299999,48.5,60.599998
1129,,someone else,19,11,,10,male,moderate,29,,32.400002
1130,40,self-employed,50,13,12,12,female,conservative,33.099998,48.5,35.400002
1131,55,someone else,47,18,14,12,male,slightly liberal,86.5,73.900002,
1132,40,someone else,58,16,,16,female,,43.5,,78.699997
1133,,someone else,70,12,6,,male,slightly liberal,29.4,38.200001,29.4
1134,50,someone else,58,14,,12,male,,53.700001,,38.200001
1135,,someone else,,,,,female,,,,
1136,,someone else,37,12,16,12,male,,31.4,76.400002,29
1137,,someone else,39,12,,,male,extremely liberal,33.599998,,
1138,,,37,12,,,female,,,,
1139,,someone else,71,8,,,male,,29.299999,63.5,
1140,35,someone else,25,12,12,12,female,,54.700001,34.200001,54.700001
1141,20,someone else,56,12,10,,male,conservative,32.299999,29.4,
1142,,someone else,53,12,7,12,female,moderate,28.4,73.599998,38.200001
1143,55,someone else,39,18,14,12,female,,73.900002,37.299999,54.200001
1144,40,someone else,37,12,12,12,male,conservative,63.5,31.5,42.200001
1145,70,someone else,58,14,11,14,female,moderate,47,63.5,38.900002
1146,50,someone else,61,16,,12,male,,69.199997,,26.700001
1147,40,someone else,37,16,8,12,male,,63.5,27.700001,
1148,37,someone else,24,16,,14,male,slghtly conservative,60.400002,,38.400002
1149,,someone else,33,10,,0,male,moderate,40,,
1150,20,someone else,23,18,14,18,female,,,65.800003,78.5
1151,60,someone else,20,14,16,12,female,liberal,54.5,63.5,38.400002
1152,,someone else,41,8,8,12,female,,33.099998,36.400002,27.700001
1153,,someone else,25,12,12,11,male,,31.4,31.4,27.700001
1154,,,30,13,12,11,female,moderate,,46.799999,27.700001
1155,,someone else,70,12,10,12,female,conservative,38,38.400002,
1156,,someone else,42,12,,12,female,,29.299999,,17.1
1157,50,someone else,40,12,12,12,male,,26.6,48.5,26.6
1158,40,someone else,50,12,10,12,male,moderate,38.5,48.5,
1159,,someone else,76,12,7,4,male,,53.900002,63.200001,29
1160,20,someone else,74,12,12,12,female,,36.5,45.900002,
1161,,someone else,67,19,18,16,male,slghtly conservative,78.5,92.300003,78.5
1162,89,self-employed,33,9,,,male,moderate,63.5,,
1163,,someone else,78,12,8,8,female,slghtly conservative,38,38.200001,38.900002
1164,,someone else,79,10,,8,male,,26.4,27.700001,22.700001
1165,,someone else,70,12,8,8,male,,39,48.900002,22.5
1166,40,someone else,46,12,9,11,female,moderate,36.5,27.700001,29.299999
1167,,someone else,56,12,6,6,male,moderate,27.700001,27.700001,
1168,,someone else,87,12,6,8,male,slightly liberal,22.700001,20.1,
1169,,someone else,77,16,12,12,female,,69.199997,76.400002,62
1170,44,someone else,47,18,10,12,male,,62.099998,43.200001,
1171,45,someone else,35,16,16,20,female,moderate,65.800003,63.5,63.5
1172,,someone else,39,14,12,14,female,,57.099998,73.599998,38.900002
1173,40,someone else,36,18,2,10,male,,83.699997,61.900002,38
1174,34,someone else,54,20,14,12,female,,82.699997,62.5,38.400002
1175,72,self-employed,60,16,14,14,male,,33.900002,50.700001,78.5
1176,55,self-employed,36,15,16,16,male,slightly liberal,64.199997,73.300003,74.900002
1177,,someone else,68,13,,6,male,,37.400002,38.400002,
1178,32,someone else,27,14,13,12,female,,73.199997,50.700001,
1179,37,someone else,35,,9,9,female,,53.299999,27.5,17.1
1180,,someone else,52,12,12,12,male,conservative,31.299999,42.5,
1181,,someone else,79,15,14,6,female,slightly liberal,73.199997,45.900002,22.5
1182,70,someone else,45,16,8,8,male,,70.5,50.700001,26.6
1183,35,someone else,56,20,10,6,female,moderate,80.900002,32,
1184,40,someone else,33,19,,3,female,moderate,69.199997,29.4,32
1185,,someone else,52,8,13,8,female,slightly liberal,26.700001,27.700001,
1186,45,someone else,44,12,12,12,female,,26.700001,45.900002,29.4
1187,40,someone else,23,16,20,18,female,slightly liberal,78.5,73.900002,78.5
1188,20,someone else,51,16,8,8,female,conservative,64.800003,34.200001,37.299999
1189,,someone else,62,16,8,8,male,,80.300003,28.6,22.5
1190,52,someone else,32,12,12,,male,extrmly conservative,32.299999,32.299999,
1191,75,self-employed,53,14,,16,male,moderate,66.099998,,39.599998
1192,,someone else,63,12,,6,female,,36.5,,19.4
1193,,someone else,69,12,4,8,female,,38.400002,34.200001,22.5
1194,14,someone else,60,17,12,14,female,,29.299999,25.5,73.199997
1195,,someone else,52,20,12,15,female,,69.199997,64.099998,
1196,,self-employed,35,9,,14,female,moderate,29.299999,,73.199997
1197,35,someone else,33,9,6,3,female,conservative,29.1,37.299999,
1198,40,someone else,21,14,12,16,female,,45.700001,,
1199,,someone else,70,12,9,8,female,,32,37.299999,
1200,,someone else,78,12,,13,female,,36.5,,78.5
1201,,someone else,81,12,,4,female,,34.599998,,17.1
1202,40,someone else,63,12,3,14,female,conservative,63.200001,50.700001,
1203,,,24,12,18,16,male,liberal,,88.800003,71.599998
1204,40,someone else,33,14,12,12,male,moderate,48.5,63.5,38.400002
1205,,self-employed,69,12,9,14,female,,36.5,37.299999,25.5
1206,,someone else,72,8,,8,female,conservative,46.799999,29.200001,
1207,40,someone else,28,8,,,female,extrmly conservative,33.299999,,
1208,60,someone else,59,12,12,12,male,,50.700001,29.4,73.199997
1209,,someone else,61,13,10,8,female,,63.5,31.4,17.1
1210,40,someone else,45,14,,,male,,28.6,,
1211,,someone else,32,12,2,12,female,,31.200001,31.5,
1212,,,32,12,,12,female,,,,48.5
1213,40,someone else,37,13,,9,male,moderate,48.799999,,29.299999
1214,6,someone else,28,14,,,female,,73.599998,,
1215,42,someone else,39,16,,14,male,,63.200001,,63.200001
1216,,,21,13,12,14,male,slightly liberal,,45.799999,73.199997
1217,32,someone else,31,15,14,16,female,slightly liberal,73.199997,26.4,73.199997
1218,30,someone else,46,12,11,12,male,,37.900002,63.5,32.400002
1219,60,someone else,22,13,,,male,,50.299999,,
1220,70,someone else,63,14,10,12,male,moderate,28.4,29.4,29.4
1221,,someone else,40,19,14,15,male,,80.300003,63.200001,
1222,40,someone else,34,14,12,12,male,moderate,54.700001,45.900002,29.4
1223,32,someone else,41,13,12,14,female,slightly liberal,36.5,32.299999,33.099998
1224,40,someone else,40,15,16,12,female,slghtly conservative,64.800003,39.400002,
1225,20,self-employed,62,9,,,female,,33.099998,,
1226,40,someone else,49,6,6,6,female,,29.299999,34.200001,
1227,40,someone else,55,12,9,12,male,,76.400002,38.099998,
1228,40,someone else,54,12,11,10,female,,41.599998,52.5,
1229,,someone else,81,11,7,11,female,slightly liberal,38.900002,34.200001,38
1230,50,self-employed,50,2,10,12,male,moderate,63.5,69.699997,56.599998
1231,,someone else,34,14,,14,female,slghtly conservative,33.099998,,38.400002
1232,14,someone else,74,16,10,11,male,slghtly conservative,38,63.5,
1233,40,someone else,30,14,16,12,female,,38.400002,86.5,28.4
1234,,someone else,46,12,12,12,male,,50.299999,42.299999,
1235,55,someone else,55,20,14,14,female,,87,45.799999,
1236,45,someone else,36,18,,,male,conservative,73.300003,,
1237,56,someone else,24,15,20,20,male,liberal,52.400002,73.900002,87
1238,,someone else,29,16,18,16,male,,64.099998,37.299999,
1239,,someone else,39,17,12,12,female,,78.5,63.5,64.199997
1240,48,someone else,38,12,6,6,male,conservative,20.1,26.5,29.299999
1241,44,someone else,47,16,,,male,slghtly conservative,82.699997,,
1242,,someone else,32,13,18,14,female,,45.799999,,38.400002
1243,30,someone else,21,10,9,12,female,,21.200001,31.4,32.400002
1244,45,someone else,42,16,13,16,male,slghtly conservative,73.300003,50.700001,
1245,,someone else,30,16,5,16,female,,78.5,37.299999,78.5
1246,43,someone else,48,14,7,12,female,,50.700001,48.5,38.400002
1247,53,someone else,34,15,16,,male,extremely liberal,57.099998,63.5,
1248,,someone else,59,10,8,12,male,slghtly conservative,28.200001,42.400002,
1249,35,self-employed,72,16,10,12,female,moderate,64.199997,37.299999,
1250,40,someone else,23,15,13,16,female,,36.5,39.5,36.5
1251,70,someone else,41,13,14,14,female,,76.400002,63.5,
1252,40,someone else,39,12,,14,female,,45.400002,,50.700001
1253,40,someone else,26,15,14,15,male,conservative,33.599998,,
1254,42,someone else,23,13,12,12,male,,32.400002,64.099998,63.200001
1255,60,someone else,52,12,12,4,female,,38,45.299999,
1256,40,someone else,46,14,11,11,female,,84.699997,48.900002,26.700001
1257,50,someone else,31,18,16,12,male,slightly liberal,49.299999,62.5,38.400002
1258,,someone else,25,11,,12,female,,27.5,,37.299999
1259,,someone else,39,15,12,15,female,,31.4,37.299999,69.699997
1260,,someone else,28,11,,12,female,slghtly conservative,29.299999,,33.099998
1261,16,someone else,46,16,13,9,male,,36.5,29.299999,
1262,,someone else,48,12,10,10,male,,28.4,27.700001,29
1263,40,someone else,50,16,6,12,male,,36.900002,50.700001,33.099998
1264,65,someone else,29,17,12,11,female,,78.5,34.200001,22.5
1265,40,someone else,30,14,,12,female,,50.700001,,
1266,,someone else,33,12,,12,female,slghtly conservative,35.200001,,22.5
1267,10,someone else,52,14,8,8,male,slghtly conservative,60.5,27.700001,
1268,,self-employed,83,5,3,5,female,conservative,25.5,26.5,22.5
1269,,someone else,57,11,,,female,,33.099998,,
1270,26,someone else,36,14,12,,female,,29.1,52.400002,
1271,,someone else,29,11,,12,female,moderate,37.700001,,22.9
1272,,,82,12,9,10,female,,,44.700001,
1273,40,someone else,31,15,12,13,male,,64.099998,49.599998,
1274,45,someone else,39,14,8,12,female,,65.199997,31.4,73.199997
1275,16,someone else,23,12,12,,female,,38.900002,44.700001,
1276,32,someone else,37,10,,11,female,moderate,33.599998,,26.700001
1277,30,self-employed,31,9,11,12,male,moderate,32.299999,32.299999,
1278,45,someone else,50,12,4,10,male,moderate,63.5,63.200001,17.1
1279,45,someone else,31,14,,12,male,,38.099998,,63.5
1280,40,someone else,27,12,7,10,male,moderate,33.599998,31.5,
1281,40,someone else,27,16,16,12,female,slghtly conservative,50.700001,64.099998,62.5
1282,,someone else,46,15,,14,female,,37.299999,,50.299999
1283,24,self-employed,25,17,12,14,male,moderate,32.400002,50.700001,22.6
1284,,someone else,76,12,,14,female,moderate,32.400002,,78.5
1285,40,self-employed,61,17,12,12,male,moderate,63.5,76.400002,
1286,40,someone else,64,14,16,16,female,,,78.5,78.5
1287,,someone else,64,13,10,12,female,,38.400002,64.199997,
1288,32,someone else,31,12,16,,male,,40,28.4,
1289,40,someone else,44,16,12,10,female,conservative,73.199997,50.200001,
1290,,someone else,68,11,10,,male,,28,37.299999,
1291,40,self-employed,23,11,12,12,male,extremely liberal,31.299999,28.4,22.5
1292,30,someone else,29,12,10,12,female,,60.599998,31.5,29.200001
1293,60,someone else,46,14,16,12,male,moderate,48.900002,62.200001,
1294,50,someone else,39,12,,12,male,extremely liberal,31.5,,
1295,40,someone else,46,14,19,18,male,moderate,40,85.099998,78.5
1296,60,someone else,36,18,15,12,male,,63.5,36.5,
1297,30,someone else,22,12,12,12,male,liberal,32.400002,,36.700001
1298,40,someone else,23,14,12,18,female,,38.400002,29.4,78.5
1299,40,someone else,67,11,6,6,male,slghtly conservative,36.5,63.5,25.5
1300,40,someone else,65,12,8,8,female,extrmly conservative,37.400002,36.5,
1301,40,someone else,23,12,,12,male,liberal,31.4,,
1302,40,someone else,34,14,20,12,male,,52.5,97.199997,
1303,55,someone else,29,17,12,12,female,,36.5,48.5,27.700001
1304,,someone else,50,16,,14,female,,78.5,,50.700001
1305,50,self-employed,53,12,12,12,male,,59,29.4,45.900002
1306,60,someone else,41,18,16,12,female,moderate,78,76.400002,63.200001
1307,,someone else,63,12,14,12,male,moderate,63.5,63.5,
1308,40,someone else,59,12,10,10,female,,63.5,48.5,26.700001
1309,40,someone else,32,13,,12,male,,38.200001,,22.5
1310,,someone else,48,13,12,14,female,moderate,53.400002,48.5,38.900002
1311,40,someone else,23,11,,11,female,,29.299999,,50.299999
1312,40,someone else,44,,,,female,,,,
1313,,,20,13,18,12,male,,,86.599998,38.400002
1314,40,someone else,47,10,,,male,conservative,34.200001,,
