id,hrs1,wrkslf,age,educ,paeduc,maeduc,sex,polviews,sei,pasei,masei
228,60,someone else,53,12,15,12,female,slightly liberal,68.800003,64.099998,46.200001
229,,someone else,82,12,12,12,female,moderate,30.700001,30.6,32.400002
230,40,someone else,33,14,18,18,female,,73.199997,62.200001,69.199997
231,,someone else,67,16,8,9,female,,,73.900002,38.900002
232,,someone else,29,20,16,12,male,,32.400002,59,64.199997
233,,self-employed,72,20,12,,female,,62.5,37.700001,23.299999
234,,self-employed,76,12,9,12,female,,64.199997,33.900002,
235,32,someone else,55,16,12,12,female,slightly liberal,61.400002,37.299999,73.199997
236,,self-employed,89,2,,,male,moderate,38.200001,,
237,27,someone else,21,14,13,12,female,,26.700001,63.200001,39
238,44,someone else,33,14,12,12,female,,74.400002,45.900002,
239,28,someone else,24,12,18,16,female,moderate,42.5,87,80.300003
240,60,someone else,40,12,,12,male,,28.6,,17.1
241,40,someone else,25,12,,10,male,slightly liberal,34.299999,,37.599998
242,70,someone else,32,13,10,12,male,slightly liberal,52.400002,31.5,33.099998
243,70,someone else,23,14,,13,male,moderate,34.299999,,34.599998
244,45,someone else,26,9,,12,male,,39,,38.400002
245,,,67,10,6,6,female,,,29.200001,29.200001
246,40,someone else,24,11,,9,male,moderate,60.5,,41.599998
247,40,someone else,53,18,18,13,female,,80.300003,67,
248,,someone else,50,14,,10,female,conservative,36.5,,22.9
249,20,someone else,54,14,9,12,male,moderate,76.400002,37.799999,25.200001
250,89,someone else,28,12,,12,male,conservative,50.5,,73.199997
251,20,someone else,62,9,,,female,,23.299999,,
252,24,someone else,39,12,3,4,female,slightly liberal,29,50.700001,33.099998
253,42,someone else,46,13,12,12,female,,41.599998,26.700001,
254,40,someone else,45,9,9,0,female,,38.200001,86.800003,
255,,self-employed,28,16,16,12,female,,34.400002,76.400002,38.400002
256,,someone else,42,14,8,9,male,extremely liberal,50.700001,63.5,63.5
257,40,someone else,25,16,,14,female,liberal,81,,61.900002
258,,someone else,30,11,,10,female,,21.200001,,53.700001
259,40,someone else,53,14,8,12,female,moderate,33.099998,29.200001,
260,,someone else,25,14,,12,female,liberal,37.700001,,29.299999
261,,someone else,32,15,14,12,female,slghtly conservative,33.599998,29.200001,47
262,40,someone else,41,12,,12,male,,21.200001,,69.199997
263,30,someone else,26,12,11,14,female,,53.700001,29.4,68.099998
264,,,68,5,0,0,female,,,32.299999,
265,40,someone else,43,14,14,14,male,,83.699997,32.299999,73.199997
266,,someone else,35,13,,,female,slightly liberal,28.4,,
267,20,someone else,26,16,10,12,female,extremely liberal,36.5,32.299999,32.400002
268,,someone else,24,11,,12,female,extrmly conservative,33.099998,,29.799999
269,,someone else,48,14,4,9,female,,29.200001,29.200001,32.400002
270,,someone else,72,11,,13,female,,27.5,,29.299999
271,62,someone else,31,12,12,12,female,,48.900002,45.799999,33.099998
272,,someone else,25,11,,11,female,slghtly conservative,29.4,,
273,,someone else,23,16,12,12,female,slightly liberal,57.099998,28.4,26.4
274,,someone else,58,16,12,9,male,,63.5,31.5,26.700001
275,40,self-employed,63,13,20,14,female,,33.099998,96,74.099998
276,60,someone else,56,18,12,13,female,slghtly conservative,85.099998,52.5,38.400002
277,25,someone else,72,15,12,12,female,,,64.099998,
278,60,someone else,26,16,20,12,male,,80.300003,85.099998,68.099998
279,50,self-employed,61,16,10,12,male,extremely liberal,60.599998,35.400002,25.200001
280,,self-employed,62,11,8,10,male,moderate,63.5,50.700001,33.099998
281,25,someone else,43,12,12,12,female,conservative,63.5,44.700001,37.599998
