year,id,wrkstat,hrs1,marital,sex,pres00,pres04,polviews,happy,health,abany,premarsx,pornlaw
2006,2526,RETIRED,,WIDOWED,FEMALE,,,CONSERVATIVE,VERY HAPPY,FAIR,NO,,ILLEGAL TO ALL
2006,2527,SCHOOL,,NEVER MARRIED,MALE,,KERRY,SLGHTLY CONSERVATIVE,,FAIR,,,
2006,2528,WORKING FULLTIME,40,DIVORCED,FEMALE,GORE,KERRY,SLIGHTLY LIBERAL,PRETTY HAPPY,EXCELLENT,YES,ALWAYS WRONG,
2006,2529,WORKING FULLTIME,40,MARRIED,MALE,,KERRY,SLGHTLY CONSERVATIVE,,POOR,,,
2006,2530,WORKING FULLTIME,43,MARRIED,FEMALE,,KERRY,MODERATE,,EXCELLENT,,,
2006,2531,WORKING FULLTIME,33,MARRIED,MALE,,KERRY,SLIGHTLY LIBERAL,,EXCELLENT,,,
2006,2532,WORKING FULLTIME,50,MARRIED,MALE,OTHER (SPECIFY),BUSH,CONSERVATIVE,PRETTY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2533,WORKING FULLTIME,40,MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,PRETTY HAPPY,,,ALMST ALWAYS WRG,ILLEGAL TO ALL
2006,2534,WORKING FULLTIME,50,MARRIED,MALE,,,MODERATE,VERY HAPPY,,,NOT WRONG AT ALL,ILLEGAL UNDER 18
2006,2535,WORKING PARTTIME,26,NEVER MARRIED,MALE,,,MODERATE,,GOOD,,,
2006,2536,WORKING FULLTIME,25,NEVER MARRIED,MALE,,BUSH,CONSERVATIVE,,EXCELLENT,,,
2006,2537,"UNEMPL, LAID OFF",,DIVORCED,FEMALE,GORE,BUSH,CONSERVATIVE,VERY HAPPY,GOOD,NO,,ILLEGAL TO ALL
2006,2538,RETIRED,,MARRIED,MALE,GORE,KERRY,SLGHTLY CONSERVATIVE,PRETTY HAPPY,FAIR,YES,,ILLEGAL UNDER 18
2006,2539,KEEPING HOUSE,,DIVORCED,MALE,,KERRY,SLIGHTLY LIBERAL,,GOOD,,,
2006,2540,WORKING PARTTIME,9,MARRIED,FEMALE,BUSH,BUSH,CONSERVATIVE,VERY HAPPY,FAIR,YES,NOT WRONG AT ALL,
2006,2541,WORKING FULLTIME,40,SEPARATED,FEMALE,,,SLGHTLY CONSERVATIVE,,GOOD,,,
2006,2542,WORKING FULLTIME,40,MARRIED,FEMALE,GORE,KERRY,,VERY HAPPY,GOOD,NO,ALWAYS WRONG,
2006,2543,WORKING FULLTIME,80,MARRIED,MALE,,,CONSERVATIVE,,FAIR,,,
